NOME_DIRIGENTE;NOME_CARGO;NOME_UNIDADE;DATA_INICIO_AFASTAMENTO;DATA_FIM_AFASTAMENTO;NOME_MOTIVO_AFASTAMENTO
ADRIANO SIMOES ANDRADE;Diretor Adjunto de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;03/11/2025;08/11/2025;Viagem Oficial do Titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;24/11/2025;09/12/2025;Férias
ADRIANO SIMOES ANDRADE;Diretor Adjunto de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;24/11/2025;09/12/2025;Férias do Titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;30/12/2025;31/12/2025;Recesso de Final de Ano
ADRIANO SIMOES ANDRADE;Diretor Adjunto de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;30/12/2025;31/12/2025;Recesso de Final de Ano do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;22/05/2026;23/05/2026;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;22/05/2026;23/05/2026;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;06/06/2026;12/06/2026;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;06/06/2026;12/06/2026;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;25/08/2026;04/09/2026;Férias
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;25/08/2026;04/09/2026;Férias do Titular
FRANCISCO MACENA DA SILVA                                ;Secretário-Executivo;Secretaria-Executiva;10/07/2026;18/07/2026;Viagem Oficial
LUCIANA VASCONCELOS NAKAMURA;Secretária-Executiva - Substituta;Secretaria-Executiva;10/07/2026;18/07/2026;Viagem Oficial do Titular
LUIZ FELIPE BRANDAO DE MELLO                             ;Secretário de Inspeção do Trabalho;Secretaria de Inspeção do Trabalho;26/01/2026;05/02/2026;Férias
LUIZ HENRIQUE RAMOS LOPES;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;26/01/2026;05/02/2026;Férias do Titular
LUIZ HENRIQUE RAMOS LOPES;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;14/03/2026;;Vacância
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;01/01/2026;02/01/2026;Recesso de final de Ano
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;01/01/2026;02/01/2026;Recesso de Final de Ano do Titular
MARCOS PERIOTO                                           ;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;16/03/2026;02/04/2026;Férias
ANDRÉ LUIS GRANDIZOLI     ;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;16/03/2026;02/04/2026;Férias do Tituar
CARLOS AUGUSTO SIMOES GONCALVES JUNIOR                   ;Secretário de Proteção ao Trabalhador - SPT;Secretaria de Proteção ao Trabalhador;01/01/2026;09/01/2026;Férias
JOÃO PAULO FERREIRA MACHADO;Secretário de Proteção ao Trabalhador - SPT - Substituto;Secretaria de Proteção ao Trabalhador;01/01/2026;09/01/2026;Férias do Titular
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;06/01/2026;20/01/2026;Férias
HENRIQUE EDUARDO MEDEIROS AQUINO;Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto;Secretaria Nacional de Qualificação Emprego e Juventude;06/01/2026;20/01/2026;Férias do Titular
